model,modality,pos,strategy,hyperparam,faith_all,faith_attn,%nodes,%heads,%mlps,comps,heads,mlps,paths,time_s,TO,peak_mb,search_mb
gpt2-small,pap,nopos,BestFirstSearch,top_n=100,0.017489735323625907,0.5758781502993974,19.23076923076923,16.666666666666668,50.0,30,24,6,100.0,1.5266435146331787,False,954.60498046875,128.72021484375
gpt2-small,pap,nopos,LimitedLevelWidth,max_width=100,0.2338233502147409,0.46620759839297465,52.56410256410256,49.30555555555556,91.66666666666667,82,71,11,1225.0,6.390017509460449,False,963.4736328125,213.8388671875
gpt2-small,pap,nopos,LimitedLevelWidth,max_width=1000,1.0,1.0,100.0,100.0,100.0,156,144,12,12397.0,50.88703203201294,False,1387.2236328125,561.3388671875
gpt2-small,pap,nopos,Threshold,min_contribution=0.5,-0.10950615798359789,-0.3870848598654607,3.2051282051282053,2.7777777777777777,8.333333333333334,5,4,1,2.0,0.5973289012908936,False,918.69873046875,92.81396484375
gpt2-small,pap,nopos,Threshold,min_contribution=0.1,0.053640632150801615,0.49188137605863724,14.743589743589743,12.5,41.666666666666664,23,18,5,62.0,2.4777493476867676,False,931.1318359375,105.2470703125
gpt2-small,pap,nopos,Threshold,min_contribution=0.02,0.8340103820903269,0.8340103820903269,43.58974358974359,38.888888888888886,100.0,68,56,12,1493.0,27.355139017105103,False,1132.7314453125,306.8466796875
gpt2-small,pmp,nopos,BestFirstSearch,top_n=100,0.3122369594456483,0.5388854784758353,17.307692307692307,14.583333333333334,50.0,27,21,6,100.0,96.68027067184448,False,830.38671875,4.501953125
gpt2-small,pmp,nopos,LimitedLevelWidth,max_width=100,0.3651447718970855,0.4068761820534582,49.35897435897436,45.833333333333336,91.66666666666667,77,66,11,965.0,91.75922536849976,False,830.80859375,4.923828125
gpt2-small,pmp,nopos,LimitedLevelWidth,max_width=1000,1.020111168319808,1.020111168319808,99.35897435897436,99.30555555555556,100.0,155,143,12,12507.0,833.2017982006073,False,836.4443359375,10.5595703125
gpt2-small,pmp,nopos,Threshold,min_contribution=0.5,-0.10950615798359789,-0.3870848598654607,3.2051282051282053,2.7777777777777777,8.333333333333334,5,4,1,2.0,6.107090950012207,False,830.3408203125,4.4560546875
gpt2-small,pmp,nopos,Threshold,min_contribution=0.1,0.30473607431875654,0.5143851003338404,16.025641025641026,13.194444444444445,50.0,25,19,6,70.0,77.55211234092712,False,830.4443359375,4.5595703125
gpt2-small,pmp,nopos,Threshold,min_contribution=0.02,0.9259908117826382,0.9259908117826382,44.23076923076923,39.583333333333336,100.0,69,57,12,1601.0,787.7202212810516,False,832.130859375,6.24609375
gpt2-small,pmp_batched,nopos,BestFirstSearch,top_n=100,0.3122369594456483,0.5388854784758353,17.307692307692307,14.583333333333334,50.0,27,21,6,100.0,19.092114448547363,False,830.392578125,4.5078125
