,,%nodes,%nodes,%nodes,faith_all,faith_all,faith_all,time_s,time_s,time_s
modality,,pap,pmp,pmp_batched,pap,pmp,pmp_batched,pap,pmp,pmp_batched
model,size_band,,,,,,,,,
gpt2-small,0-5%,3.2051282051282053,3.2051282051282053,3.2051282051282053,-0.10950615798359789,-0.10950615798359789,-0.10950615798359789,0.5973289012908936,6.107090950012207,0.634171724319458
gpt2-small,5-15%,14.743589743589743,14.743589743589743,14.102564102564102,0.053640632150801615,0.0875780642451656,0.12334775628349648,2.4777493476867676,733.6021199226379,70.19919037818909
gpt2-small,15-35%,18.58974358974359,33.333333333333336,17.307692307692307,0.019004564426302106,0.9366569813859418,0.3122369594456483,7.6769702434539795,3600.7858951091766,19.092114448547363
gpt2-small,35-70%,35.8974358974359,39.743589743589745,39.1025641025641,0.8962714327741809,1.0550654993899902,1.041661644232763,58.7180335521698,554.4348468780518,116.54427146911621
gpt2-small,70-101%,98.71794871794872,99.35897435897436,99.35897435897436,1.0009157959424435,1.020111168319808,1.020111168319808,105.42857694625854,833.2017982006073,278.5483317375183
meta-llama/Meta-Llama-3-8B,0-5%,,2.746212121212121,4.545454545454546,,-0.00015576323987538941,-0.0021806853582554517,,2707.800849676132,453.9635992050171
meta-llama/Meta-Llama-3-8B,5-15%,11.931818181818182,7.291666666666667,6.912878787878788,0.5462616822429907,-0.001869158878504673,-0.003894080996884735,36.10503602027893,3600.4992492198944,467.24670362472534
meta-llama/Meta-Llama-3-8B,15-35%,,,24.526515151515152,,,0.08457943925233645,,,3604.24786734581
meta-llama/Meta-Llama-3-8B,35-70%,57.00757575757576,,49.81060606060606,0.876791277258567,,0.3705607476635514,360.94172406196594,,2596.5300612449646
